Team,Matches Scouted,Crossed %,Auto Switch,Auto Scale,Auto Exchange,Auto Drop %,Tele Switch,Tele Opp Switch,Tele Scale,Tele Exchange,Tele Drop,Tele Total Switch,Tele Total Cube
913,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
931,6,83.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,1.5,0.0,2.6666666666666665
1094,6,100.0,0.8333333333333334,0.0,0.0,16.666666666666668,0.8333333333333334,0.5,0.3333333333333333,1.1666666666666667,1.1666666666666667,1.3333333333333333,2.8333333333333335
1178,6,100.0,0.3333333333333333,0.0,0.0,33.333333333333336,0.6666666666666666,0.3333333333333333,0.0,2.1666666666666665,1.1666666666666667,1.0,3.1666666666666665
1208,6,83.33333333333333,0.0,0.0,0.0,83.33333333333333,1.3333333333333333,0.16666666666666666,0.0,2.0,0.6666666666666666,1.5,3.5
1288,6,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,1.0
1329,6,33.333333333333336,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.6666666666666666,0.16666666666666666,1.5,1.1666666666666667,2.0
1444,6,83.33333333333333,0.16666666666666666,0.0,0.0,50.0,0.6666666666666666,0.0,2.8333333333333335,0.3333333333333333,0.6666666666666666,0.6666666666666666,3.8333333333333335
1625,7,57.142857142857146,0.7142857142857143,0.0,0.0,0.0,1.8571428571428572,1.4285714285714286,1.4285714285714286,0.14285714285714285,1.1428571428571428,3.2857142857142856,4.857142857142857
1635,1,100.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0
1658,7,85.71428571428571,0.7142857142857143,0.0,0.0,42.857142857142854,0.14285714285714285,0.42857142857142855,2.5714285714285716,1.5714285714285714,1.0,0.5714285714285714,4.714285714285714
1706,5,80.0,0.0,0.0,0.0,60.0,0.6,1.6,2.4,0.0,0.8,2.2,4.6
1732,9,66.66666666666667,0.4444444444444444,0.0,0.0,11.11111111111111,0.3333333333333333,0.0,2.2222222222222223,0.3333333333333333,0.6666666666666666,0.3333333333333333,2.888888888888889
1771,1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985,8,12.5,0.0,0.0,0.0,0.0,0.125,0.0,0.0,3.875,1.0,0.125,4.0
2022,6,50.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,1.1666666666666667
2081,5,80.0,1.0,0.0,0.0,0.0,0.4,0.8,1.2,0.6,1.6,1.2,3.0
2202,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
2408,6,83.33333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.8333333333333334,0.3333333333333333,0.3333333333333333
2451,9,100.0,0.2222222222222222,0.2222222222222222,0.0,44.44444444444444,0.4444444444444444,3.111111111111111,1.6666666666666667,0.8888888888888888,1.7777777777777777,3.5555555555555554,6.111111111111111
2481,9,100.0,0.4444444444444444,1.0,0.0,0.0,1.5555555555555556,3.888888888888889,2.888888888888889,1.0,0.5555555555555556,5.444444444444445,9.333333333333334
2707,7,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.42857142857142855
2783,10,90.0,0.3,0.0,0.0,0.0,1.6,2.1,1.4,1.0,0.2,3.7,6.1
2978,6,83.33333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,0.5,0.8333333333333334,0.6666666666666666,1.3333333333333333
3197,7,100.0,0.42857142857142855,0.0,0.0,14.285714285714286,0.5714285714285714,1.4285714285714286,0.7142857142857143,0.5714285714285714,1.8571428571428572,2.0,3.2857142857142856
3284,5,80.0,0.0,0.0,0.0,0.0,0.8,1.2,0.8,2.2,0.4,2.0,5.0
3330,6,66.66666666666667,0.16666666666666666,0.0,0.0,16.666666666666668,0.5,1.0,1.5,0.8333333333333334,1.1666666666666667,1.5,3.8333333333333335
3397,7,100.0,1.0,0.0,0.0,0.0,2.2857142857142856,0.7142857142857143,0.0,6.571428571428571,0.14285714285714285,3.0,9.571428571428571
3692,6,83.33333333333333,0.16666666666666666,0.0,0.0,33.333333333333336,0.6666666666666666,1.0,0.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,3.0
3792,6,100.0,0.3333333333333333,0.0,0.0,16.666666666666668,0.8333333333333334,0.3333333333333333,1.0,2.0,0.3333333333333333,1.1666666666666667,4.166666666666667
3814,8,100.0,0.0,0.0,0.0,0.0,0.125,0.375,0.625,0.25,0.25,0.5,1.375
4143,7,57.142857142857146,0.14285714285714285,0.0,0.0,14.285714285714286,1.0,0.5714285714285714,1.4285714285714286,0.8571428571428571,0.7142857142857143,1.5714285714285714,3.857142857142857
4184,1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0
4187,4,100.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,2.0,0.25,0.25,2.25
4232,6,66.66666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,2.3333333333333335,0.3333333333333333,0.3333333333333333,2.6666666666666665
4233,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0
4246,6,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.5,0.6666666666666666,0.16666666666666666,1.6666666666666667
4256,9,77.77777777777777,0.1111111111111111,0.1111111111111111,0.0,44.44444444444444,1.0,0.3333333333333333,1.6666666666666667,2.2222222222222223,0.4444444444444444,1.3333333333333333,5.222222222222222
4329,7,85.71428571428571,0.0,0.0,0.0,0.0,3.142857142857143,0.0,0.7142857142857143,3.142857142857143,0.42857142857142855,3.142857142857143,7.0
4330,8,75.0,0.0,0.0,0.0,12.5,1.25,0.0,0.0,1.125,1.25,1.25,2.375
4356,8,87.5,0.375,0.0,0.0,0.0,1.25,0.25,0.0,2.875,1.375,1.5,4.375
4500,8,62.5,0.0,0.0,0.0,12.5,0.5,0.375,0.0,0.0,0.75,0.875,0.875
4530,1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,4.0
4600,5,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.8,2.2,0.4,0.4,3.4
4931,6,33.333333333333336,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.3333333333333333,0.5,0.5,1.1666666666666667,2.0
5060,7,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.42857142857142855
5147,7,85.71428571428571,0.0,0.0,0.0,0.0,1.5714285714285714,0.8571428571428571,0.5714285714285714,0.5714285714285714,1.4285714285714286,2.4285714285714284,3.5714285714285716
5176,8,50.0,0.0,0.0,0.0,0.0,2.0,1.75,0.0,0.75,0.875,3.75,4.5
5326,5,100.0,0.4,0.0,0.0,0.0,1.8,0.6,0.4,0.6,1.8,2.4,3.4
5328,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0
5583,10,80.0,0.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.2,0.5,0.5
5836,6,83.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0
6391,6,66.66666666666667,0.3333333333333333,0.0,0.0,66.66666666666667,0.3333333333333333,0.16666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.5,1.1666666666666667
6660,7,85.71428571428571,0.0,0.0,0.0,0.0,0.8571428571428571,0.7142857142857143,0.0,1.0,0.7142857142857143,1.5714285714285714,2.5714285714285716
6744,6,100.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666,0.0,1.8333333333333333,0.16666666666666666,2.0,3.8333333333333335
7117,5,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.4,0.0,2.6
7255,7,57.142857142857146,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,1.0,1.1428571428571428,0.14285714285714285,1.1428571428571428
36922783,1,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,5.0,6.0
